4,extra_mileage_starting_mode_2,extra_mileage_starting_mode_2_two_opt,greedy_starting_mode_2_grasp_0,greedy_starting_mode_2_grasp_0_two_opt
0, 390726.000000, 358812.000000, 398122.000000, 341171.000000
1, 396125.000000, 368339.000000, 390355.000000, 340004.000000
2, 389080.000000, 363840.000000, 389348.000000, 341101.000000
3, 393899.000000, 367318.000000, 386966.000000, 338758.000000
4, 396837.000000, 365574.000000, 394461.000000, 342368.000000
5, 393144.000000, 360236.000000, 391676.000000, 340644.000000
6, 394333.000000, 364144.000000, 398052.000000, 346036.000000
7, 396156.000000, 362573.000000, 396202.000000, 346053.000000
8, 387019.000000, 360189.000000, 389670.000000, 341709.000000
9, 392556.000000, 363850.000000, 388937.000000, 341046.000000
10, 390630.000000, 360696.000000, 390564.000000, 342603.000000
11, 394221.000000, 366531.000000, 390546.000000, 339496.000000
12, 394552.000000, 362281.000000, 384405.000000, 338080.000000
13, 393913.000000, 361991.000000, 389222.000000, 340117.000000
14, 395848.000000, 361546.000000, 386088.000000, 340432.000000
15, 400786.000000, 371275.000000, 393892.000000, 344186.000000
16, 387385.000000, 361040.000000, 388718.000000, 341841.000000
17, 395681.000000, 363965.000000, 393685.000000, 342718.000000
18, 391627.000000, 366008.000000, 391320.000000, 342278.000000
19, 398167.000000, 363311.000000, 388053.000000, 341477.000000
20, 395495.000000, 366107.000000, 390188.000000, 341624.000000
21, 400635.000000, 369328.000000, 384988.000000, 343724.000000
22, 392864.000000, 361263.000000, 383853.000000, 340403.000000
23, 389748.000000, 363133.000000, 391761.000000, 343992.000000
24, 390445.000000, 367788.000000, 396216.000000, 346838.000000
25, 388876.000000, 361280.000000, 392011.000000, 340591.000000
26, 393110.000000, 365754.000000, 390125.000000, 340724.000000
27, 395309.000000, 365963.000000, 386763.000000, 340108.000000
28, 400269.000000, 365101.000000, 395569.000000, 346086.000000
29, 393937.000000, 361766.000000, 384578.000000, 339340.000000
30, 391667.000000, 359544.000000, 388685.000000, 339327.000000
31, 392314.000000, 364732.000000, 392318.000000, 340861.000000
32, 393970.000000, 365808.000000, 397044.000000, 345735.000000
33, 393967.000000, 366519.000000, 389436.000000, 341380.000000
34, 389798.000000, 363073.000000, 394013.000000, 341260.000000
35, 397323.000000, 368746.000000, 389473.000000, 339791.000000
36, 402761.000000, 367847.000000, 388496.000000, 343237.000000
37, 394485.000000, 360382.000000, 389954.000000, 341436.000000
38, 387020.000000, 362184.000000, 387856.000000, 341486.000000
39, 394964.000000, 363926.000000, 396911.000000, 345223.000000
40, 397467.000000, 369442.000000, 392175.000000, 343344.000000
41, 394176.000000, 366254.000000, 390661.000000, 340760.000000
42, 387897.000000, 357969.000000, 387965.000000, 338478.000000
43, 391967.000000, 360805.000000, 390572.000000, 338462.000000
44, 393835.000000, 360614.000000, 389417.000000, 340205.000000
45, 397958.000000, 361646.000000, 383245.000000, 337492.000000
46, 386453.000000, 360605.000000, 384706.000000, 335852.000000
47, 388201.000000, 362507.000000, 388853.000000, 340559.000000
48, 397130.000000, 366746.000000, 397317.000000, 346663.000000
49, 395139.000000, 367736.000000, 388969.000000, 343641.000000
