6, greedy_starting_mode_0_grasp_0_two_opt,greedy_starting_mode_0_grasp_1_two_opt,greedy_starting_mode_1_grasp_0_two_opt,greedy_starting_mode_1_grasp_1_two_opt,greedy_starting_mode_2_grasp_0_two_opt,greedy_starting_mode_2_grasp_1_two_opt
0, 343080.000000, 362614.000000, 342892.000000, 359628.000000, 341171.000000, 360778.000000
1, 340607.000000, 354734.000000, 341202.000000, 357235.000000, 340004.000000, 360387.000000
2, 345133.000000, 362546.000000, 341127.000000, 362832.000000, 341101.000000, 359093.000000
3, 341532.000000, 358803.000000, 340573.000000, 358996.000000, 338758.000000, 358149.000000
4, 340083.000000, 359660.000000, 339114.000000, 359983.000000, 342368.000000, 362259.000000
5, 338357.000000, 357718.000000, 339953.000000, 360685.000000, 340644.000000, 357348.000000
6, 346238.000000, 357780.000000, 348174.000000, 358796.000000, 346036.000000, 354408.000000
7, 344475.000000, 360919.000000, 346282.000000, 365581.000000, 346053.000000, 358490.000000
8, 340800.000000, 355916.000000, 339194.000000, 355950.000000, 341709.000000, 355955.000000
9, 343065.000000, 355841.000000, 341711.000000, 361606.000000, 341046.000000, 358183.000000
10, 340915.000000, 358033.000000, 339801.000000, 359086.000000, 342603.000000, 358870.000000
11, 340750.000000, 357277.000000, 340117.000000, 356232.000000, 339496.000000, 356770.000000
12, 340326.000000, 359873.000000, 337860.000000, 359266.000000, 338080.000000, 363252.000000
13, 340432.000000, 354693.000000, 340340.000000, 357051.000000, 340117.000000, 358019.000000
14, 341066.000000, 359357.000000, 339539.000000, 358095.000000, 340432.000000, 356008.000000
15, 346876.000000, 360378.000000, 345471.000000, 365599.000000, 344186.000000, 361558.000000
16, 342452.000000, 361998.000000, 340965.000000, 354761.000000, 341841.000000, 360544.000000
17, 341300.000000, 362070.000000, 343849.000000, 362269.000000, 342718.000000, 362201.000000
18, 342872.000000, 366633.000000, 343336.000000, 357404.000000, 342278.000000, 361990.000000
19, 341427.000000, 353497.000000, 340929.000000, 361741.000000, 341477.000000, 359692.000000
20, 343035.000000, 358295.000000, 342617.000000, 361995.000000, 341624.000000, 364365.000000
21, 341246.000000, 362238.000000, 344461.000000, 365822.000000, 343724.000000, 359670.000000
22, 338177.000000, 356873.000000, 340507.000000, 355144.000000, 340403.000000, 360995.000000
23, 343287.000000, 362730.000000, 345705.000000, 364699.000000, 343992.000000, 363199.000000
24, 343769.000000, 361961.000000, 346960.000000, 365239.000000, 346838.000000, 362498.000000
25, 342130.000000, 359739.000000, 338167.000000, 356222.000000, 340591.000000, 359525.000000
26, 340492.000000, 358767.000000, 340266.000000, 357119.000000, 340724.000000, 355095.000000
27, 342011.000000, 360526.000000, 343220.000000, 362886.000000, 340108.000000, 358301.000000
28, 347786.000000, 359052.000000, 347096.000000, 359269.000000, 346086.000000, 357457.000000
29, 340131.000000, 356462.000000, 338764.000000, 358620.000000, 339340.000000, 358002.000000
30, 338601.000000, 355836.000000, 339486.000000, 356058.000000, 339327.000000, 355162.000000
31, 343037.000000, 362275.000000, 344938.000000, 357923.000000, 340861.000000, 360801.000000
32, 343892.000000, 363078.000000, 343982.000000, 364576.000000, 345735.000000, 364976.000000
33, 343354.000000, 358044.000000, 344634.000000, 360192.000000, 341380.000000, 363192.000000
34, 341715.000000, 360429.000000, 341347.000000, 358397.000000, 341260.000000, 359583.000000
35, 341364.000000, 357663.000000, 340515.000000, 359919.000000, 339791.000000, 359386.000000
36, 343446.000000, 363592.000000, 342507.000000, 359969.000000, 343237.000000, 361798.000000
37, 336948.000000, 356301.000000, 339373.000000, 357331.000000, 341436.000000, 352066.000000
38, 343819.000000, 358146.000000, 342626.000000, 360200.000000, 341486.000000, 357080.000000
39, 349534.000000, 368908.000000, 347692.000000, 365251.000000, 345223.000000, 361027.000000
40, 344388.000000, 358023.000000, 343364.000000, 365391.000000, 343344.000000, 363088.000000
41, 341460.000000, 356994.000000, 339960.000000, 355916.000000, 340760.000000, 358684.000000
42, 338055.000000, 357890.000000, 339180.000000, 352215.000000, 338478.000000, 355470.000000
43, 340905.000000, 361329.000000, 342591.000000, 354995.000000, 338462.000000, 355632.000000
44, 338501.000000, 361886.000000, 340676.000000, 359006.000000, 340205.000000, 362703.000000
45, 338178.000000, 354804.000000, 338269.000000, 353122.000000, 337492.000000, 352253.000000
46, 337729.000000, 355568.000000, 339055.000000, 357174.000000, 335852.000000, 358118.000000
47, 341425.000000, 359354.000000, 340212.000000, 355863.000000, 340559.000000, 356815.000000
48, 344583.000000, 359013.000000, 344895.000000, 361615.000000, 346663.000000, 355330.000000
49, 344786.000000, 360206.000000, 345176.000000, 360913.000000, 343641.000000, 362033.000000
