3, local_branching_10,local_branching_20,local_branching_30
0, 244216.000000, 244016.000000, 244447.000000
1, 237186.000000, 238239.000000, 237864.000000
2, 236218.000000, 237954.000000, 237013.000000
3, 238240.000000, 237647.000000, 237903.000000
4, 239464.000000, 238006.000000, 238822.000000
5, 236677.000000, 237250.000000, 236676.000000
6, 241011.000000, 241657.000000, 242976.000000
7, 242553.000000, 242489.000000, 243923.000000
8, 236034.000000, 236982.000000, 236891.000000
9, 238393.000000, 239114.000000, 237910.000000
