5, optimal, greedy_1_0_VNS_kick_neighborhood_10,greedy_1_0_VNS_kick_neighborhood_3,greedy_1_0_VNS_kick_neighborhood_5,greedy_1_0_VNS_kick_neighborhood_7
0, 168551.000000, 171283.000000, 178121.000000, 173511.000000, 171949.000000
1, 168313.000000, 171663.000000, 176012.000000, 172396.000000, 172522.000000
2, 165651.000000, 170780.000000, 174491.000000, 171670.000000, 171257.000000
3, 166727.000000, 169825.000000, 172907.000000, 173592.000000, 172641.000000
4, 164886.000000, 168138.000000, 173453.000000, 172981.000000, 173863.000000
5, 163061.000000, 165726.000000, 173261.000000, 168132.000000, 167997.000000
6, 168007.000000, 172058.000000, 173282.000000, 172652.000000, 172564.000000
7, 169557.000000, 173669.000000, 176145.000000, 176285.000000, 175203.000000
8, 161910.000000, 165706.000000, 170250.000000, 170062.000000, 167176.000000
9, 165385.000000, 168561.000000, 170533.000000, 170593.000000, 170124.000000
