5, optimal,genetic_algorithm_repair_mode_2_cutting_type_2,greedy_1_0_simulated_annealing_iterations_3,greedy_1_0_tabu_tenure_mode_1_aspiration_0, greedy_1_0_VNS_kick_neighborhood_10
0, 168551.000000, 179255.000000, 179630.000000, 175391.000000, 171283.000000
1, 168313.000000, 178538.000000, 180196.000000, 178899.000000, 171663.000000
2, 165651.000000, 176132.000000, 176203.000000, 175002.000000, 170780.000000
3, 166727.000000, 176116.000000, 177738.000000, 177033.000000, 169825.000000
4, 164886.000000, 175794.000000, 176333.000000, 173838.000000, 168138.000000
5, 163061.000000, 173251.000000, 174272.000000, 170671.000000, 165726.000000
6, 168007.000000, 178352.000000, 179161.000000, 175263.000000, 172058.000000
7, 169557.000000, 179243.000000, 180266.000000, 178952.000000, 173669.000000
8, 161910.000000, 169427.000000, 173039.000000, 172290.000000, 165706.000000
9, 165385.000000, 175154.000000, 174565.000000, 172144.000000, 168561.000000
