4, optimal, genetic_algorithm_repair_mode_0_cutting_type_0,genetic_algorithm_repair_mode_1_cutting_type_0,genetic_algorithm_repair_mode_2_cutting_type_0
0, 168551.000000, 183279.000000, 185057.000000, 179642.000000
1, 168313.000000, 187408.000000, 181369.000000, 179644.000000
2, 165651.000000, 183931.000000, 185792.000000, 176467.000000
3, 166727.000000, 181195.000000, 185173.000000, 176588.000000
4, 164886.000000, 184459.000000, 181821.000000, 176460.000000
5, 163061.000000, 180075.000000, 178066.000000, 172799.000000
6, 168007.000000, 181082.000000, 181908.000000, 179386.000000
7, 169557.000000, 184277.000000, 188307.000000, 179600.000000
8, 161910.000000, 178755.000000, 177065.000000, 172260.000000
9, 165385.000000, 183691.000000, 180184.000000, 174862.000000
