4, optimal, greedy_1_0_simulated_annealing_iterations_1,greedy_1_0_simulated_annealing_iterations_2,greedy_1_0_simulated_annealing_iterations_3
0, 168551.000000, 179845.000000, 180406.000000, 179630.000000
1, 168313.000000, 178904.000000, 179583.000000, 180196.000000
2, 165651.000000, 177047.000000, 175912.000000, 176203.000000
3, 166727.000000, 177519.000000, 179514.000000, 177738.000000
4, 164886.000000, 176902.000000, 176235.000000, 176333.000000
5, 163061.000000, 174553.000000, 174695.000000, 174272.000000
6, 168007.000000, 179070.000000, 177510.000000, 179161.000000
7, 169557.000000, 180047.000000, 179844.000000, 180266.000000
8, 161910.000000, 173326.000000, 171571.000000, 173039.000000
9, 165385.000000, 176031.000000, 176496.000000, 174565.000000
