4, optimal, greedy_1_0_tabu_tenure_mode_0_aspiration_0,greedy_1_0_tabu_tenure_mode_1_aspiration_0,greedy_1_0_tabu_tenure_mode_2_aspiration_0
0, 168551.000000, 178547.000000, 175391.000000, 177630.000000
1, 168313.000000, 178376.000000, 178899.000000, 178249.000000
2, 165651.000000, 175702.000000, 175002.000000, 177986.000000
3, 166727.000000, 177051.000000, 177033.000000, 176377.000000
4, 164886.000000, 174480.000000, 173838.000000, 176576.000000
5, 163061.000000, 174417.000000, 170671.000000, 174375.000000
6, 168007.000000, 177383.000000, 175263.000000, 173728.000000
7, 169557.000000, 178853.000000, 178952.000000, 178245.000000
8, 161910.000000, 172109.000000, 172290.000000, 170964.000000
9, 165385.000000, 174850.000000, 172144.000000, 173256.000000
